"Problem","Severity","File","Line","Column","Rule","Description","URL","Category","Engine"
"1","3","/Users/richard/duplication_manager/duplication-manager/force-app/main/default/classes/ArchiveOldLogsBatch.cls","229","13","AvoidDebugStatements","Avoid debug statements since they impact on performance","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_performance.html#avoiddebugstatements","Performance","pmd"
"2","3","/Users/richard/duplication_manager/duplication-manager/force-app/main/default/classes/DMUPreview.cls","6","21","StdCyclomaticComplexity","The class 'DMUPreview' has a Standard Cyclomatic Complexity of 29 (Highest = 28).","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_design.html#stdcyclomaticcomplexity","Design","pmd"
"3","3","/Users/richard/duplication_manager/duplication-manager/force-app/main/default/classes/DMUPreview.cls","6","21","CognitiveComplexity","The class 'DMUPreview' has a total cognitive complexity of 56 (highest 56), current threshold is 50","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_design.html#cognitivecomplexity","Design","pmd"
"4","3","/Users/richard/duplication_manager/duplication-manager/force-app/main/default/classes/DMUPreview.cls","6","21","CyclomaticComplexity","The class 'DMUPreview' has a total cyclomatic complexity of 45 (highest 45).","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_design.html#cyclomaticcomplexity","Design","pmd"
"5","3","/Users/richard/duplication_manager/duplication-manager/force-app/main/default/classes/DMUPreview.cls","14","19","StdCyclomaticComplexity","The method 'previewMergeResults' has a Standard Cyclomatic Complexity of 28.","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_design.html#stdcyclomaticcomplexity","Design","pmd"
"6","3","/Users/richard/duplication_manager/duplication-manager/force-app/main/default/classes/DMUPreview.cls","14","19","NcssMethodCount","The method 'previewMergeResults()' has an NCSS line count of 137 (limit: 40)","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_design.html#ncssmethodcount","Design","pmd"
"7","3","/Users/richard/duplication_manager/duplication-manager/force-app/main/default/classes/DMUPreview.cls","14","19","CognitiveComplexity","The method 'previewMergeResults(Map<String, Object>)' has a cognitive complexity of 56, current threshold is 15","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_design.html#cognitivecomplexity","Design","pmd"
"8","3","/Users/richard/duplication_manager/duplication-manager/force-app/main/default/classes/DMUPreview.cls","14","19","CyclomaticComplexity","The method 'previewMergeResults(Map<String, Object>)' has a cyclomatic complexity of 45.","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_design.html#cyclomaticcomplexity","Design","pmd"
"9","3","/Users/richard/duplication_manager/duplication-manager/force-app/main/default/classes/DMUPreview.cls","79","52","ApexSOQLInjection","Avoid untrusted/unescaped variables in DML query","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_security.html#apexsoqlinjection","Security","pmd"
"10","3","/Users/richard/duplication_manager/duplication-manager/force-app/main/default/classes/DRCCompare.cls","6","21","StdCyclomaticComplexity","The class 'DRCCompare' has a Standard Cyclomatic Complexity of 10 (Highest = 9).","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_design.html#stdcyclomaticcomplexity","Design","pmd"
"11","3","/Users/richard/duplication_manager/duplication-manager/force-app/main/default/classes/DRCCompare.cls","15","19","NcssMethodCount","The method 'getRecordsForComparison()' has an NCSS line count of 42 (limit: 40)","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_design.html#ncssmethodcount","Design","pmd"
"12","3","/Users/richard/duplication_manager/duplication-manager/force-app/main/default/classes/DRCCompare.cls","15","19","CyclomaticComplexity","The method 'getRecordsForComparison(List<String>, String)' has a cyclomatic complexity of 14.","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_design.html#cyclomaticcomplexity","Design","pmd"
